iter	Passed	Remaining
663	14915	7547
664	14937	7524
665	14960	7502
666	14982	7480
667	15004	7457
668	15025	7434
669	15047	7411
670	15068	7388
671	15089	7365
672	15109	7341
673	15130	7318
674	15151	7295
675	15173	7272
676	15196	7250
677	15217	7227
678	15238	7204
679	15259	7180
680	15280	7157
681	15301	7134
682	15322	7111
683	15342	7088
684	15364	7065
685	15387	7043
686	15411	7021
687	15432	6998
688	15453	6975
689	15474	6952
690	15495	6929
691	15516	6906
692	15536	6882
693	15557	6859
694	15578	6836
695	15600	6813
696	15622	6791
697	15643	6768
698	15665	6745
699	15686	6722
700	15710	6701
701	15733	6678
702	15753	6655
703	15775	6632
704	15798	6610
705	15824	6589
706	15846	6567
707	15868	6544
708	15889	6521
709	15913	6499
710	15934	6477
711	15956	6454
712	15976	6431
713	15998	6408
714	16021	6386
715	16047	6365
716	16069	6342
717	16092	6320
718	16114	6297
719	16135	6275
720	16156	6251
721	16176	6228
722	16198	6205
723	16218	6182
724	16239	6159
725	16262	6137
726	16284	6115
727	16306	6092
728	16327	6069
729	16348	6046
730	16369	6023
731	16391	6001
732	16412	5978
733	16432	5955
734	16453	5932
735	16476	5909
736	16498	5887
737	16520	5864
738	16541	5841
739	16561	5818
740	16583	5796
741	16605	5773
742	16626	5750
743	16647	5728
744	16668	5705
745	16690	5682
746	16713	5660
747	16736	5638
748	16760	5616
749	16782	5594
750	16804	5571
751	16824	5548
752	16845	5525
753	16866	5502
754	16887	5480
755	16911	5458
756	16933	5435
757	16956	5413
758	16976	5390
759	16997	5367
760	17019	5345
761	17041	5322
762	17063	5300
763	17089	5278
764	17111	5256
765	17140	5236
766	17163	5213
767	17185	5191
768	17206	5168
769	17227	5145
770	17247	5122
771	17268	5100
772	17289	5077
773	17310	5054
774	17333	5032
775	17356	5010
776	17378	4987
777	17399	4964
778	17419	4941
779	17440	4919
780	17461	4896
781	17482	4873
782	17502	4850
783	17523	4828
784	17546	4805
785	17569	4783
786	17591	4761
787	17613	4738
788	17634	4716
789	17655	4693
790	17675	4670
791	17696	4647
792	17717	4624
793	17740	4602
794	17766	4581
795	17797	4561
796	17822	4539
797	17848	4517
798	17869	4495
799	17890	4472
800	17911	4449
801	17932	4427
802	17953	4404
803	17975	4382
804	17999	4360
805	18021	4337
806	18043	4315
807	18065	4292
808	18086	4270
809	18108	4247
810	18128	4224
811	18149	4201
812	18170	4179
813	18193	4157
814	18216	4135
815	18238	4112
816	18260	4090
817	18281	4067
818	18301	4044
819	18322	4022
820	18343	3999
821	18363	3976
822	18384	3953
823	18407	3931
824	18431	3909
825	18452	3887
826	18472	3864
827	18493	3841
828	18513	3818
829	18534	3796
830	18554	3773
831	18576	3750
832	18597	3728
833	18620	3706
834	18641	3683
835	18662	3661
836	18683	3638
837	18703	3615
838	18724	3593
839	18745	3570
840	18765	3547
841	18786	3525
842	18807	3502
843	18829	3480
844	18851	3458
845	18873	3435
846	18893	3412
847	18914	3390
848	18937	3368
849	18959	3345
850	18981	3323
851	19002	3300
852	19024	3278
853	19047	3256
854	19069	3234
855	19090	3211
856	19111	3188
857	19132	3166
858	19153	3143
859	19173	3121
860	19195	3098
861	19215	3076
862	19236	3053
863	19257	3031
864	19280	3009
865	19302	2986
866	19322	2964
867	19343	2941
868	19364	2919
869	19385	2896
870	19406	2874
871	19426	2851
872	19447	2829
873	19470	2806
874	19493	2784
875	19514	2762
876	19535	2739
877	19556	2717
878	19577	2694
879	19598	2672
880	19619	2650
881	19640	2627
882	19661	2605
883	19684	2582
884	19706	2560
885	19729	2538
886	19752	2516
887	19774	2494
888	19794	2471
889	19815	2449
890	19837	2426
891	19857	2404
892	19879	2381
893	19902	2359
894	19924	2337
895	19945	2315
896	19966	2292
897	19988	2270
898	20008	2247
899	20030	2225
900	20050	2203
901	20072	2180
902	20092	2158
903	20115	2136
904	20138	2114
905	20160	2091
906	20181	2069
907	20201	2046
908	20224	2024
909	20246	2002
910	20267	1980
911	20288	1957
912	20309	1935
913	20332	1913
914	20355	1890
915	20377	1868
916	20398	1846
917	20418	1823
918	20439	1801
919	20460	1779
920	20484	1757
921	20505	1734
922	20527	1712
923	20552	1690
924	20575	1668
925	20596	1645
926	20617	1623
927	20637	1601
928	20658	1578
929	20679	1556
930	20700	1534
931	20722	1511
932	20742	1489
933	20765	1467
934	20787	1445
935	20809	1422
936	20830	1400
937	20851	1378
938	20872	1355
939	20893	1333
940	20913	1311
941	20934	1288
942	20955	1266
943	20978	1244
944	21002	1222
945	21024	1200
946	21045	1177
947	21068	1155
948	21090	1133
949	21112	1111
950	21134	1088
951	21154	1066
952	21175	1044
953	21199	1022
954	21222	1000
955	21244	977
956	21265	955
957	21286	933
958	21306	910
959	21328	888
960	21348	866
961	21369	844
962	21390	821
963	21416	799
964	21441	777
965	21463	755
966	21484	733
967	21505	710
968	21526	688
969	21547	666
970	21568	644
971	21589	621
972	21610	599
973	21632	577
974	21656	555
975	21678	533
976	21702	510
977	21724	488
978	21745	466
979	21766	444
980	21790	422
981	21811	399
982	21834	377
983	21858	355
984	21881	333
985	21902	310
986	21925	288
987	21948	266
988	21969	244
989	21991	222
990	22011	199
991	22032	177
992	22056	155
993	22080	133
994	22101	111
995	22122	88
996	22144	66
997	22165	44
998	22186	22
999	22207	0
